1415109810151	null	null	205267000	null	1	2
1415109810157	496000	null	5135000	null	21	2
1415109810161	102000	null	4353000	null	22	1
1415109810163	47000	null	1725000	null	21	2
1415109810165	39000	null	1814000	null	22	1
1415109810166	38000	null	1519000	null	21	2
1415109810172	3329000	null	1994000	null	22	1
1415109810174	35000	null	2645000	null	21	2
1415109810179	38000	null	4058000	null	22	1
1415109810180	39000	null	1637000	null	21	2
1415109810182	34000	null	1725000	null	22	1
1415109810184	32000	null	2184000	null	21	2
1415109810186	32000	null	1877000	null	22	1
1415109810188	32000	null	1428000	null	21	2
1415109810189	34000	null	1493000	null	22	1
1415109810193	33000	null	3367000	null	21	2
1415109810194	35000	null	1736000	null	22	1
1415109810196	34000	null	1392000	null	21	2
1415109810197	31000	null	1524000	null	22	1
1415109810199	33000	null	1260000	null	21	2
1415109810200	30000	null	1401000	null	22	1
1415109810201	32000	null	1287000	null	21	2
1415109810203	32000	null	1380000	null	22	1
1415109810204	31000	null	1303000	null	21	2
1415109810205	29000	null	1368000	null	22	1
1415109810207	31000	null	1285000	null	21	2
1415109810208	31000	null	1362000	null	22	1
1415109810210	32000	null	1344000	null	21	2
1415109810211	32000	null	1397000	null	22	1
1415109810213	32000	null	1830000	null	21	2
1415109810214	31000	null	1420000	null	22	1
1415109810216	32000	null	1376000	null	21	2
1415109810217	30000	null	1659000	null	22	1
1415109810219	33000	null	1309000	null	21	2
1415109810220	47000	null	1406000	null	22	1
1415109810221	31000	null	1253000	null	21	2
1415109810223	29000	null	1364000	null	22	1
1415109810224	31000	null	1284000	null	21	2
1415109810226	31000	null	1315000	null	22	1
1415109810227	32000	null	1274000	null	21	2
1415109810228	52000	null	1515000	null	22	1
1415109810230	56000	null	1443000	null	21	2
1415109810231	31000	null	1511000	null	22	1
1415109810233	38000	null	1361000	null	21	2
1415109810234	29000	null	1415000	null	22	1
1415109810236	31000	null	1240000	null	21	2
1415109810237	32000	null	1462000	null	22	1
1415109810238	42000	null	1302000	null	21	2
1415109810240	31000	null	1454000	null	22	1
1415109810241	33000	null	1258000	null	21	2
1415109810243	30000	null	1514000	null	22	1
1415109810244	32000	null	1374000	null	21	2
1415109810245	29000	null	1364000	null	22	1
1415109810247	40000	null	1267000	null	21	2
1415109810248	28000	null	1344000	null	22	1
1415109810249	32000	null	1255000	null	21	2
1415109810251	29000	null	1343000	null	22	1
1415109810252	30000	null	1248000	null	21	2
1415109810254	28000	null	1374000	null	22	1
1415109810255	30000	null	1245000	null	21	2
1415109810256	29000	null	1337000	null	22	1
1415109810258	31000	null	1328000	null	21	2
1415109810259	29000	null	1309000	null	22	1
1415109810260	32000	null	1280000	null	21	2
1415109810262	29000	null	1375000	null	22	1
1415109810263	32000	null	1299000	null	21	2
1415109810264	31000	null	1475000	null	22	1
1415109810266	51000	null	1462000	null	21	2
1415109810267	32000	null	1478000	null	22	1
1415109810269	34000	null	1539000	null	21	2
1415109810271	50000	null	1578000	null	22	1
1415109810272	34000	null	1233000	null	21	2
1415109810273	30000	null	1288000	null	22	1
1415109810275	31000	null	1422000	null	21	2
1415109810276	29000	null	1384000	null	22	1
1415109810277	33000	null	1214000	null	21	2
1415109810279	29000	null	1296000	null	22	1
1415109810280	31000	null	1264000	null	21	2
1415109810281	29000	null	1341000	null	22	1
1415109810282	31000	null	1140000	null	21	2
1415109810284	31000	null	1281000	null	22	1
1415109810285	31000	null	1181000	null	21	2
1415109810286	31000	null	1257000	null	22	1
1415109810288	32000	null	1192000	null	21	2
1415109810289	29000	null	1498000	null	22	1
1415109810291	54000	null	1492000	null	21	2
1415109810292	34000	null	1491000	null	22	1
1415109810294	34000	null	1422000	null	21	2
1415109810295	57000	null	1347000	null	22	1
1415109810296	33000	null	1203000	null	21	2
1415109810297	32000	null	1217000	null	22	1
1415109810299	31000	null	1111000	null	21	2
1415109810300	29000	null	1238000	null	22	1
1415109810301	33000	null	1170000	null	21	2
1415109810303	30000	null	1446000	null	22	1
1415109810304	51000	null	1293000	null	21	2
1415109810305	37000	null	1405000	null	22	1
1415109810307	33000	null	1197000	null	21	2
1415109810308	51000	null	1321000	null	22	1
1415109810309	32000	null	1262000	null	21	2
1415109810311	42000	null	1514000	null	22	1
1415109810312	56000	null	1527000	null	21	2
1415109810314	47000	null	1469000	null	22	1
1415109810315	34000	null	1189000	null	21	2
1415109810316	30000	null	1317000	null	22	1
1415109810318	31000	null	1149000	null	21	2
1415109810319	29000	null	1271000	null	22	1
1415109810320	31000	null	1200000	null	21	2
1415109810322	30000	null	1305000	null	22	1
1415109810323	31000	null	1192000	null	21	2
1415109810324	30000	null	1278000	null	22	1
1415109810325	93000	null	1159000	null	21	2
1415109810327	28000	null	1301000	null	22	1
1415109810328	30000	null	1163000	null	21	2
1415109810329	31000	null	1302000	null	22	1
1415109810331	30000	null	2199000	null	21	2
1415109810333	54000	null	1440000	null	22	1
1415109810334	35000	null	1143000	null	21	2
1415109810336	45000	null	1444000	null	22	1
1415109810337	39000	null	1164000	null	21	2
1415109810338	29000	null	1340000	null	22	1
1415109810340	50000	null	1360000	null	21	2
1415109810341	50000	null	1376000	null	22	1
1415109810342	34000	null	1191000	null	21	2
